"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://staging.jakevibes.dev/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Flzbhll1u%2Fproduction%2F89bf544d718ef6ec6fca3be5534e85818dc14634-260x84.png&w=640&q=75","image/png","200","OK","Indexable","","0","0.335","",""
"https://staging.jakevibes.dev/_next/static/chunks/turbopack-0jv9~kde_zlsi.js?dpl=dpl_Hf38ZJXzxvT9dduwvdSebmDFuJid","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.136","",""
"https://player.vimeo.com/video/1131836141?background=1&autoplay=1&loop=1&muted=1&autopause=0","text/html; charset=UTF-8","200","OK","Indexable","","0","0.475","",""
"https://staging.jakevibes.dev/_next/static/chunks/0bwtox4z9bpq0.css?dpl=dpl_Hf38ZJXzxvT9dduwvdSebmDFuJid","text/css; charset=utf-8","200","OK","Indexable","","0","0.155","",""
"https://staging.jakevibes.dev/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Flzbhll1u%2Fproduction%2F84f6ee18e082a6498590513ee9228031dd17e059-200x200.jpg&w=128&q=75","image/jpeg","200","OK","Indexable","","0","0.327","",""
"https://staging.jakevibes.dev/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Flzbhll1u%2Fproduction%2F5678f6c35244f6caa1e91c94f500db11dff53f60-260x63.png&w=640&q=75","image/png","200","OK","Indexable","","0","0.465","",""
"https://staging.jakevibes.dev/technology/aws-developers","text/html; charset=utf-8","200","OK","Indexable","","989","0.499","",""
"https://staging.jakevibes.dev/services/latam-developers","text/html; charset=utf-8","200","OK","Indexable","","987","0.498","",""
"https://staging.jakevibes.dev/_next/static/chunks/06_mk.wn.fdrp.css?dpl=dpl_Hf38ZJXzxvT9dduwvdSebmDFuJid","text/css; charset=utf-8","200","OK","Indexable","","0","0.051","",""
"https://staging.jakevibes.dev/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Flzbhll1u%2Fproduction%2Fa01dfcb9738720eb2b3859974d815580fd158b2c-640x808.jpg&w=3840&q=75","image/jpeg","200","OK","Indexable","","0","0.679","",""
"https://staging.jakevibes.dev/services/philippines-developers","text/html; charset=utf-8","200","OK","Indexable","","984","0.452","",""
"https://staging.jakevibes.dev/_next/static/chunks/02qg5.r9b~5p2.js?dpl=dpl_Hf38ZJXzxvT9dduwvdSebmDFuJid","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.057","",""
"https://staging.jakevibes.dev/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Flzbhll1u%2Fproduction%2Fa1562f70da9857594fc58c9e96261bb9128d6577-640x823.jpg&w=3840&q=75","image/jpeg","200","OK","Indexable","","0","0.419","",""
"https://staging.jakevibes.dev/_next/static/chunks/0m97bbjp.vgzu.js?dpl=dpl_Hf38ZJXzxvT9dduwvdSebmDFuJid","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.156","",""
"https://staging.jakevibes.dev/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Flzbhll1u%2Fproduction%2F1f3319bd3688edab79492ac99b959e54f99b356f-523x284.jpg&w=3840&q=75","image/jpeg","200","OK","Indexable","","0","0.387","",""
"https://staging.jakevibes.dev/services/web-based-apps","text/html; charset=utf-8","200","OK","Indexable","","329","0.458","",""
"https://staging.jakevibes.dev/our-work","text/html; charset=utf-8","200","OK","Indexable","","328","0.658","",""
"https://staging.jakevibes.dev/_next/static/chunks/0~k6u5_j-9bf2.js?dpl=dpl_Hf38ZJXzxvT9dduwvdSebmDFuJid","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.162","",""
"https://staging.jakevibes.dev/services/ai-product-builds","text/html; charset=utf-8","200","OK","Indexable","","329","0.534","",""
"https://staging.jakevibes.dev/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Flzbhll1u%2Fproduction%2F36651c14c956df05cb8bf1b4c77d828ce8c9c384-260x105.png&w=640&q=75","image/png","200","OK","Indexable","","0","0.395","",""
"https://staging.jakevibes.dev/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Flzbhll1u%2Fproduction%2F22139cd93fef5bab18d63083dfd3adddb83328ab-640x655.jpg&w=3840&q=75","image/jpeg","200","OK","Indexable","","0","0.359","",""
"https://staging.jakevibes.dev/services/data-scientists","text/html; charset=utf-8","200","OK","Indexable","","983","0.404","",""
"https://cdn.sanity.io/images/lzbhll1u/production/036cec6895bc52f987d04d2948f34b86891a7875-750x130.heif?w=128&q=80&fit=max&auto=format","image/png","200","OK","Indexable","","0","0.594","",""
"https://staging.jakevibes.dev/services/no-code-developers","text/html; charset=utf-8","200","OK","Indexable","","983","0.428","",""
"https://staging.jakevibes.dev/downloads","text/html; charset=utf-8","200","OK","Indexable","","987","0.758","",""
"https://staging.jakevibes.dev/customer-story/salmon-software","text/html; charset=utf-8","200","OK","Indexable","","328","0.365","",""
"https://staging.jakevibes.dev/blog","text/html; charset=utf-8","200","OK","Indexable","","1027","0.432","",""
"https://staging.jakevibes.dev/customer-stories","text/html; charset=utf-8","200","OK","Indexable","","1337","0.490","",""
"https://staging.jakevibes.dev/_next/static/chunks/0.ep1lu8m0dqn.js?dpl=dpl_Hf38ZJXzxvT9dduwvdSebmDFuJid","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.057","",""
"https://staging.jakevibes.dev/services/mobile-apps","text/html; charset=utf-8","200","OK","Indexable","","329","0.814","",""
"https://staging.jakevibes.dev/_next/static/chunks/0~n38i-1j7.n5.js?dpl=dpl_Hf38ZJXzxvT9dduwvdSebmDFuJid","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.351","",""
